YYYY MM DD hh mm DIR  SPD GDR GSP GTIME
2005 01 02 05 20 118  7.4 999 99.0 9999
2005 01 02 05 30 118  6.9 999 99.0 9999
2005 01 02 05 40 117  6.5 999 99.0 9999
2005 01 02 05 50 119  6.8 999 99.0 9999
2005 01 02 06 00 120  7.0 120  8.5 0500
2005 01 02 06 10 123  7.2 999 99.0 9999
2005 01 02 06 20 122  6.2 999 99.0 9999
2005 01 02 06 30 121  6.2 999 99.0 9999
2005 01 02 06 40 122  6.0 999 99.0 9999
2005 01 02 06 50 122  5.6 999 99.0 9999
2005 01 02 07 00 122  5.5 124  8.0 0601
2005 01 02 07 10 122  5.9 999 99.0 9999
2005 01 02 07 20 122  6.0 999 99.0 9999
2005 01 02 07 30 119  5.7 999 99.0 9999
2005 01 02 07 40 120  5.9 999 99.0 9999
2005 01 02 07 50 119  6.1 999 99.0 9999
2005 01 02 08 00 116  7.0 116  9.1 0758
2005 01 02 08 10 114  7.3 999 99.0 9999
2005 01 02 08 20 124  8.4 999 99.0 9999
2005 01 02 08 30 122  6.3 999 99.0 9999
2005 01 02 08 40 131  5.4 999 99.0 9999
2005 01 02 08 50 142  4.5 999 99.0 9999
2005 01 02 09 00 146  4.5 121 10.5 0813
2005 01 02 09 10 147  4.4 999 99.0 9999
2005 01 02 09 20 147  3.3 999 99.0 9999
2005 01 02 09 30 136  3.6 999 99.0 9999
2005 01 02 09 40 130  3.4 999 99.0 9999
2005 01 02 09 50 121  4.0 999 99.0 9999
2005 01 02 10 00 117  4.8 117  5.6 0959
2005 01 02 10 10 119  5.7 999 99.0 9999
2005 01 02 10 20 121  5.3 999 99.0 9999
2005 01 02 10 30 127  4.2 999 99.0 9999
2005 01 02 10 40 124  3.6 999 99.0 9999
2005 01 02 10 50 118  5.8 999 99.0 9999
2005 01 02 11 00 117  5.9 118  6.3 1044
2005 01 02 11 10 117  5.9 999 99.0 9999
2005 01 02 11 20 112  6.1 999 99.0 9999
2005 01 02 11 30 109  6.4 999 99.0 9999
2005 01 02 11 40 114  6.2 999 99.0 9999
2005 01 02 11 50 115  5.9 999 99.0 9999
2005 01 02 12 00 110  6.2 110  6.9 1130
2005 01 02 12 10 103  5.8 999 99.0 9999
2005 01 02 12 20 109  5.7 999 99.0 9999
2005 01 02 12 30 110  6.3 999 99.0 9999
2005 01 02 12 40 105  5.9 999 99.0 9999
2005 01 02 12 50 105  6.2 999 99.0 9999
2005 01 02 13 00 102  5.9 110  6.8 1227
2005 01 02 13 10 103  5.9 999 99.0 9999
2005 01 02 13 20 105  5.8 999 99.0 9999
2005 01 02 13 30 105  5.4 999 99.0 9999
2005 01 02 13 40 107  5.9 999 99.0 9999
2005 01 02 13 50 106  5.7 999 99.0 9999
2005 01 02 14 00 106  5.5 102  6.6 1310
2005 01 02 14 10 107  5.5 999 99.0 9999
2005 01 02 14 20 105  5.5 999 99.0 9999
2005 01 02 14 30 113  4.5 999 99.0 9999
2005 01 02 14 40 117  4.8 999 99.0 9999
2005 01 02 14 50 113  5.0 999 99.0 9999
2005 01 02 15 00 106  5.6 107  6.1 1409
2005 01 02 15 10 111  5.3 999 99.0 9999
2005 01 02 15 20 106  4.8 999 99.0 9999
2005 01 02 15 30  95  4.7 999 99.0 9999
2005 01 02 15 40  93  4.4 999 99.0 9999
2005 01 02 15 50  99  5.5 999 99.0 9999
2005 01 02 16 00 102  6.2 102  6.7 1559
2005 01 02 16 10 105  6.1 999 99.0 9999
2005 01 02 16 20 107  6.2 999 99.0 9999
2005 01 02 16 30 109  5.8 999 99.0 9999
2005 01 02 16 40 112  5.6 999 99.0 9999
2005 01 02 16 50 111  5.7 999 99.0 9999
2005 01 02 17 00 117  4.8 108  6.7 1611
2005 01 02 17 10 120  4.9 999 99.0 9999
2005 01 02 17 20 120  5.1 999 99.0 9999
2005 01 02 17 30 123  5.2 999 99.0 9999
2005 01 02 17 40 124  5.1 999 99.0 9999
2005 01 02 17 50 126  5.1 999 99.0 9999
2005 01 02 18 00 124  4.6 123  5.8 1721
2005 01 02 18 10 122  4.2 999 99.0 9999
2005 01 02 18 20 122  3.8 999 99.0 9999
2005 01 02 18 30 122  3.8 999 99.0 9999
2005 01 02 18 40 122  3.8 999 99.0 9999
2005 01 02 18 50 120  3.8 999 99.0 9999
2005 01 02 19 00 119  4.0 123  4.6 1802
2005 01 02 19 10 117  4.1 999 99.0 9999
2005 01 02 19 20 116  4.5 999 99.0 9999
2005 01 02 19 30 113  4.7 999 99.0 9999
2005 01 02 19 40 112  4.7 999 99.0 9999
2005 01 02 19 50 111  4.8 999 99.0 9999
2005 01 02 20 00 114  4.4 110  5.1 1940
2005 01 02 20 10 115  4.6 999 99.0 9999
2005 01 02 20 20 116  4.8 999 99.0 9999
2005 01 02 20 30 116  4.6 999 99.0 9999
2005 01 02 20 40 116  5.0 999 99.0 9999
2005 01 02 20 50 114  5.4 999 99.0 9999
2005 01 02 21 00 114  4.9 114  5.7 2045
2005 01 02 21 10 112  5.0 999 99.0 9999
2005 01 02 21 20 110  4.8 999 99.0 9999
2005 01 02 21 30 109  4.9 999 99.0 9999
2005 01 02 21 40 107  5.0 999 99.0 9999
2005 01 02 21 50 104  5.0 999 99.0 9999
2005 01 02 22 00 102  5.0 111  5.6 2100
2005 01 02 22 10  96  4.5 999 99.0 9999
2005 01 02 22 20  95  4.2 999 99.0 9999
2005 01 02 22 30  94  4.2 999 99.0 9999
2005 01 02 22 40  96  4.3 999 99.0 9999
2005 01 02 22 50  92  4.5 999 99.0 9999
2005 01 02 23 00  90  4.6  99  4.9 2200
2005 01 02 23 10  91  4.6 999 99.0 9999
2005 01 02 23 20  87  4.6 999 99.0 9999
2005 01 02 23 30  87  4.6 999 99.0 9999
2005 01 02 23 40  86  4.7 999 99.0 9999
2005 01 02 23 50  85  4.6 999 99.0 9999
2005 01 03 00 00  87  4.7  86  5.1 2338
2005 01 03 00 10  88  4.6 999 99.0 9999
2005 01 03 00 20  93  5.0 999 99.0 9999
2005 01 03 00 30  95  5.6 999 99.0 9999
2005 01 03 00 40  97  5.8 999 99.0 9999
2005 01 03 00 50  98  6.0 999 99.0 9999
2005 01 03 01 00  97  6.6  96  6.9 0057
2005 01 03 01 10  97  5.8 999 99.0 9999
2005 01 03 01 20  96  5.5 999 99.0 9999
2005 01 03 01 30  99  5.4 999 99.0 9999
2005 01 03 01 40 103  5.5 999 99.0 9999
2005 01 03 01 50 103  6.0 999 99.0 9999
2005 01 03 02 00 105  6.2 104  6.5 0153
2005 01 03 02 10 105  6.2 999 99.0 9999
2005 01 03 02 20 106  6.5 999 99.0 9999
2005 01 03 02 30 105  7.0 999 99.0 9999
2005 01 03 02 40 106  7.5 999 99.0 9999
2005 01 03 02 50 109  7.3 999 99.0 9999
2005 01 03 03 00 113  7.5 113  8.5 0258
2005 01 03 03 10 113  7.8 999 99.0 9999
2005 01 03 03 20 113  7.7 999 99.0 9999
2005 01 03 03 30 112  8.2 999 99.0 9999
2005 01 03 03 40 113  8.1 999 99.0 9999
2005 01 03 03 50 115  7.1 999 99.0 9999
2005 01 03 04 00 114  7.5 111  9.1 0322
2005 01 03 04 10 113  7.5 999 99.0 9999
2005 01 03 04 20 110  7.8 999 99.0 9999
2005 01 03 04 30 109  7.8 999 99.0 9999
2005 01 03 04 40 110  7.9 999 99.0 9999
2005 01 03 04 50 111  7.3 999 99.0 9999
2005 01 03 05 00 115  6.7 110  8.5 0415
2005 01 03 05 10 115  6.9 999 99.0 9999
2005 01 03 05 20 115  6.7 999 99.0 9999
2005 01 03 05 30 114  6.3 999 99.0 9999
2005 01 03 05 40 115  6.2 999 99.0 9999
2005 01 03 05 50 115  6.3 999 99.0 9999
2005 01 03 06 00 114  6.3 116  7.4 0500
2005 01 03 06 10 115  6.1 999 99.0 9999
2005 01 03 06 20 115  6.5 999 99.0 9999
2005 01 03 06 30 117  6.3 999 99.0 9999
2005 01 03 06 40 117  5.9 999 99.0 9999
2005 01 03 06 50 117  6.1 999 99.0 9999
2005 01 03 07 00 119  6.2 114  7.1 0612
2005 01 03 07 10 123  6.3 999 99.0 9999
2005 01 03 07 20 120  6.3 999 99.0 9999
2005 01 03 07 30 118  6.3 999 99.0 9999
2005 01 03 07 40 120  6.1 999 99.0 9999
2005 01 03 07 50 119  6.0 999 99.0 9999
2005 01 03 08 00 120  6.0 123  7.1 0701
2005 01 03 08 10 119  4.7 999 99.0 9999
2005 01 03 08 20 122  4.2 999 99.0 9999
2005 01 03 08 30 121  4.3 999 99.0 9999
2005 01 03 08 40 125  4.7 999 99.0 9999
2005 01 03 08 50 125  4.9 999 99.0 9999
2005 01 03 09 00 121  6.3 122  6.8 0856
2005 01 03 09 10 120  5.4 999 99.0 9999
2005 01 03 09 20 126  5.4 999 99.0 9999
2005 01 03 09 30 124  5.7 999 99.0 9999
2005 01 03 09 40 122  4.9 999 99.0 9999
2005 01 03 09 50 123  4.3 999 99.0 9999
2005 01 03 10 00 124  4.4 121  6.4 0900
2005 01 03 10 10 125  4.4 999 99.0 9999
2005 01 03 10 20 126  3.2 999 99.0 9999
2005 01 03 10 30 119  3.3 999 99.0 9999
2005 01 03 10 40 118  3.4 999 99.0 9999
2005 01 03 10 50 118  2.9 999 99.0 9999
2005 01 03 11 00 124  2.9 126  5.3 1001
2005 01 03 11 10 123  4.7 999 99.0 9999
2005 01 03 11 20 127  4.7 999 99.0 9999
2005 01 03 11 30 123  4.9 999 99.0 9999
2005 01 03 11 40 122  5.1 999 99.0 9999
2005 01 03 11 50 122  5.6 999 99.0 9999
2005 01 03 12 00 120  6.2 120  7.2 1159
2005 01 03 12 10 121  6.9 999 99.0 9999
2005 01 03 12 20 122  8.0 999 99.0 9999
2005 01 03 12 30 120  8.2 999 99.0 9999
2005 01 03 12 40 121  7.5 999 99.0 9999
2005 01 03 12 50 119  7.1 999 99.0 9999
2005 01 03 13 00 120  6.3 122  9.1 1218
2005 01 03 13 10 122  6.4 999 99.0 9999
2005 01 03 13 20 125  6.3 999 99.0 9999
2005 01 03 13 30 127  6.4 999 99.0 9999
2005 01 03 13 40 124  6.2 999 99.0 9999
