ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
93BBA13B910E1D10,docked_bike,5/19/2020 11:09,5/19/2020 11:24,St. Clair St & Erie St,211,Rush St & Cedar St,172,41.8944,-87.6227,41.9023,-87.6277,member
3E3738CD910DFE3F,docked_bike,5/7/2020 8:13,5/7/2020 8:26,Cityfront Plaza Dr & Pioneer Ct,196,Franklin St & Chicago Ave,31,41.8906,-87.6221,41.8967,-87.6357,member
2516C277DCEF2C09,docked_bike,5/22/2020 15:50,5/22/2020 16:03,Franklin St & Chicago Ave,31,Wabash Ave & Grand Ave,199,41.8967,-87.6357,41.8915,-87.6268,member
5FC3627AD779C9C9,docked_bike,5/15/2020 16:26,5/15/2020 17:11,Wentworth Ave & 24th St (Temp),132,Wabash Ave & Cermak Rd,42,41.8501,-87.6321,41.8526,-87.6265,member
EA3E26CF7D359856,docked_bike,5/28/2020 20:46,5/28/2020 21:24,Rush St & Superior St,161,Shields Ave & 28th Pl,401,41.8958,-87.6259,41.8427,-87.6355,member
9F274999F256733C,docked_bike,5/24/2020 17:39,5/24/2020 17:48,Wabash Ave & Roosevelt Rd,59,Indiana Ave & 26th St,147,41.8672,-87.626,41.8457,-87.6225,member
76CB3192613AB1F8,docked_bike,5/20/2020 8:53,5/20/2020 9:15,Fairbanks Ct & Grand Ave,24,St. Clair St & Erie St,211,41.8918,-87.6206,41.8944,-87.6227,member
FE3215F8BDB185DC,docked_bike,5/24/2020 11:17,5/24/2020 11:45,Green St & Madison St,198,Cityfront Plaza Dr & Pioneer Ct,196,41.8819,-87.6488,41.8906,-87.6221,member
CECBAB212FF04D77,docked_bike,5/28/2020 8:02,5/28/2020 8:27,Clark St & Chicago Ave,337,Orleans St & Merchandise Mart Plaza,100,41.8968,-87.6309,41.8882,-87.6364,member
3119F963A09B1CEE,docked_bike,5/7/2020 11:58,5/7/2020 12:12,Fairbanks Ct & Grand Ave,24,Wabash Ave & Grand Ave,199,41.8918,-87.6206,41.8915,-87.6268,member
